url	Claim	Trust
https://www.snopes.com/fact-check/biden-fail-to-recognize-sunak/	U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.	false
https://www.snopes.com/fact-check/close-up-bees-face/	An image shared online is an authentic close-up photograph of a bee’s face.	false
https://www.snopes.com/fact-check/dominion-deleted-trump-votes/	Dominion Voting Systems deleted 2.7 million votes that were cast for U.S. President Donald Trump in 2020.	false
https://www.snopes.com/fact-check/bidens-twitter-account-designated-for-business/	In April 2023, Twitter CEO Elon Musk designated U.S. President Joe Biden's personal Twitter account as a business account with a community flag.	false
https://www.snopes.com/fact-check/photograph-dalai-lama-being-arrested/	An authentic photograph from spring 2023 showed the Dalai Lama being arrested by police.	false
https://www.snopes.com/fact-check/wef-order-governments-ration-water/	The World Economic Forum is teaming up with the United Nations to seize control of the world’s water supplies.	false
https://www.snopes.com/fact-check/anti-trans-graham-linehan-dead/	In April 2023, Graham Linehan suffered a stroke during a livestream broadcast and died.	false
https://www.snopes.com/fact-check/prince-vault-billy-joel/	Prince's music vault contains 37,000 hours of Bill Joel cover songs.	false
https://www.snopes.com/fact-check/goes-around-litigates-around/	A man sued himself and was awarded $300,000 (paid by his insurance company) after he injured himself with a boomerang.	false
https://www.snopes.com/fact-check/william-shatner-death-hox/	Actor William Shatner died in March 2023.	false
https://www.snopes.com/fact-check/germany-fine-twitter-hate-speech/	In mid-April, 2023, Twitter, under Elon Musk's leadership, was fined $30 billion for allegedly violating hate speech laws in Germany.	false
https://www.snopes.com/fact-check/pope-francis-satanic-priests/	Photos authentically show Pope Francis shaking hands with “satanic priests.”	false
https://www.snopes.com/fact-check/did-hillary-clinton-endorse-ron-desantis-for-president/	A video authentically shows Hillary Clinton endorsing Ron DeSantis for president.	false
https://www.snopes.com/fact-check/trump-kissing-gavin-newsom/	A photograph accurately depicts former U.S. President Donald Trump kissing California Gov. Gavin Newsom on the lips.	false
https://www.snopes.com/fact-check/les-gold-death-hoax/	"""Hardcore Pawn"" star Les Gold is dead."	false
https://www.snopes.com/fact-check/photo-women-screaming-vaginas-protest-president/	"A photograph shows women who gathered to ""scream"" at President Donald Trump ""through their vaginas."""	false
https://www.snopes.com/fact-check/lebron-james-greatest-threat-to-world-peace/	"A German survey broadcast on Fox News found LeBron James to be the ""world leader"" who is the greatest threat to world peace."	false
https://www.snopes.com/fact-check/twitter-logo-titter/	"In April 2023, Twitter changed its name to ""Titter."""	false
https://www.snopes.com/fact-check/tampax-hires-trans-star-dylan-mulvaney/	"Tampax pays ""$10,000's"" to trans influencer Dylan Mulvaney to promote its products."	false
https://www.snopes.com/fact-check/whole-foods-close-transgender-customers/	"A Whole Foods location in downtown San Francisco announced its closure due to ""hostile transgender customers."""	false
https://www.snopes.com/fact-check/recruitment-poster-international-legion-ukraine/	"A photograph of a poster depicting a homeless man on a subway that reads ""tired of living on welfare?"" shows a genuine recruitment poster for the International Legion of Ukraine."	false
https://www.snopes.com/fact-check/trump-arraignment-arrival-photo/	A photograph authentically showed former U.S. President Donald Trump arriving in New York on April 3, 2023, for his booking and arraignment on charges related to hush-money payments to Stormy Daniels.	false
